                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0195,                0.69039,                 1.0541,                0.86841,                0.55238,                0.65683,                0.48299,                  1.001,                0.84234,                 1.0954,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.0257,                0.68539,                  1.051,                0.87301,                0.61977,                0.73126,                 0.5317,                0.94807,                0.67148,                 1.0564,              0.0018654,              0.0018654,              0.0018654
                     37,                  1.028,                 0.6863,                 1.0548,                0.88729,                0.58128,                0.70955,                0.51373,                0.98268,                0.70232,                 1.0863,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.0239,                 0.6739,                 1.0524,                0.88776,                0.58958,                0.70535,                0.51844,                0.95837,                0.71935,                 1.0772,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.0123,                0.67409,                 1.0495,                0.87254,                0.60345,                0.71591,                 0.5218,                0.97338,                0.70837,                 1.0713,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.0105,                 0.6684,                 1.0403,                0.90557,                 0.6059,                0.73749,                0.53752,                0.94413,                0.66489,                 1.0575,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.0101,                0.65815,                 1.0461,                0.87056,                0.61391,                0.73568,                0.53803,                0.94457,                0.66753,                 1.0601,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.0203,                0.66557,                 1.0492,                0.87923,                 0.6182,                0.73328,                  0.532,                0.96361,                0.66349,                 1.0709,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.0138,                0.65828,                 1.0502,                0.87539,                0.60819,                0.72301,                0.52872,                0.94898,                0.66442,                 1.0706,              0.0018376,              0.0018376,              0.0018376
                     44,                  1.006,                0.65946,                 1.0363,                0.86911,                0.61534,                0.73109,                0.52933,                0.96075,                0.66556,                 1.0745,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.0144,                0.66076,                 1.0461,                0.87692,                0.58929,                0.71252,                0.51291,                0.99645,                0.69055,                 1.0899,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.0029,                 0.6578,                 1.0391,                0.88647,                0.62349,                0.74168,                0.54667,                0.93876,                0.64985,                 1.0503,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.0073,                0.65311,                 1.0451,                0.88412,                0.61143,                   0.73,                0.53725,                0.93141,                0.66161,                 1.0502,              0.0018218,              0.0018218,              0.0018218
                     48,                0.99443,                 0.6449,                 1.0351,                0.90487,                0.61677,                0.74402,                0.54213,                0.93612,                0.63233,                 1.0565,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.0042,                0.65261,                 1.0481,                 0.8896,                0.61576,                0.73219,                0.53703,                0.96079,                0.67564,                  1.078,              0.0018139,              0.0018139,              0.0018139
                     50,                0.99828,                0.64568,                 1.0396,                0.87425,                0.59731,                0.71704,                0.51857,                0.98961,                0.67997,                 1.0915,              0.0018099,              0.0018099,              0.0018099
                     51,                0.98665,                 0.6453,                 1.0395,                0.88261,                0.62402,                0.73961,                 0.5384,                0.96912,                0.66306,                 1.0775,               0.001806,               0.001806,               0.001806
                     52,                0.99049,                0.63833,                 1.0306,                0.88084,                0.60298,                0.72701,                0.53025,                0.94667,                0.65945,                 1.0664,               0.001802,               0.001802,               0.001802
                     53,                0.98896,                0.62813,                 1.0325,                0.89432,                0.60066,                 0.7299,                0.53046,                0.96003,                0.67546,                 1.0679,               0.001798,               0.001798,               0.001798
                     54,                 1.0004,                0.64517,                 1.0387,                0.88396,                0.59588,                 0.7153,                0.51324,                 1.0087,                0.68818,                 1.1087,              0.0017941,              0.0017941,              0.0017941
                     55,                0.98373,                0.62521,                 1.0319,                0.88351,                0.61534,                 0.7272,                0.52364,                 1.0076,                0.65564,                 1.1134,              0.0017901,              0.0017901,              0.0017901
                     56,                0.97868,                0.63645,                 1.0338,                0.88171,                0.62293,                0.73967,                0.54227,                0.93147,                0.63269,                 1.0597,              0.0017862,              0.0017862,              0.0017862
                     57,                0.98245,                0.62918,                 1.0278,                0.89233,                0.60332,                0.72782,                0.53438,                0.94984,                0.66328,                 1.0676,              0.0017822,              0.0017822,              0.0017822
                     58,                0.98874,                0.63422,                  1.033,                0.88213,                0.59416,                0.71959,                0.53272,                0.95531,                0.70759,                 1.0753,              0.0017782,              0.0017782,              0.0017782
                     59,                 0.9721,                0.61858,                 1.0296,                0.88266,                0.61105,                0.73595,                0.53773,                0.95562,                0.65385,                 1.0635,              0.0017743,              0.0017743,              0.0017743
                     60,                0.98274,                0.62362,                 1.0284,                0.89075,                0.61137,                0.73243,                0.54267,                 0.9351,                0.66384,                 1.0554,              0.0017703,              0.0017703,              0.0017703
                     61,                0.97552,                0.62363,                 1.0254,                0.88752,                0.62556,                0.74156,                0.54677,                0.93236,                0.63437,                  1.046,              0.0017664,              0.0017664,              0.0017664
