                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2145,                0.86933,                 1.3448,                0.84921,                0.54751,                0.66908,                0.45532,                 1.1093,                0.89602,                 1.3626,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.2371,                0.88454,                 1.3544,                0.84985,                0.56537,                0.67774,                0.48043,                 1.0472,                0.84276,                 1.3167,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.2338,                0.87589,                 1.3501,                0.84496,                0.56182,                0.67649,                0.47069,                 1.0822,                0.84945,                 1.3436,               0.001769,               0.001769,               0.001769
                     38,                 1.2194,                0.86494,                 1.3512,                0.85177,                0.56525,                0.68377,                0.47975,                 1.0583,                0.82593,                 1.3282,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2203,                0.86254,                 1.3482,                0.82489,                0.55953,                0.67584,                0.46847,                 1.0896,                0.84539,                 1.3527,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.1998,                0.84167,                 1.3365,                0.85862,                0.56983,                0.68194,                0.47668,                  1.052,                 0.8354,                 1.3207,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.1952,                0.84769,                 1.3263,                0.86114,                0.55909,                0.68363,                0.47646,                 1.0435,                0.82089,                 1.3134,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.2032,                0.85799,                 1.3448,                0.83719,                0.56411,                0.67767,                0.47103,                 1.0786,                0.84963,                 1.3427,               0.001736,               0.001736,               0.001736
                     43,                 1.1787,                 1.2465,                 1.3171,                0.84069,                0.56525,                0.67607,                0.47164,                 1.0698,                0.83904,                 1.3319,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.1899,                0.82075,                  1.324,                0.84163,                0.58071,                0.69187,                0.47997,                 1.0751,                0.81855,                 1.3429,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.1707,                0.81662,                 1.3218,                0.85935,                0.57879,                 0.6993,                 0.4878,                 1.0473,                0.78954,                 1.3103,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.1899,                0.81605,                 1.3163,                0.85667,                0.57842,                0.69344,                0.49336,                 1.0364,                0.79341,                 1.3058,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.1796,                0.82134,                  1.315,                0.84526,                0.58329,                0.69808,                0.49614,                 1.0297,                0.80137,                 1.2906,               0.001703,               0.001703,               0.001703
                     48,                  1.177,                0.81666,                  1.315,                0.86898,                0.58786,                0.70631,                0.49329,                 1.0503,                0.77687,                 1.3184,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.1821,                0.81765,                 1.3065,                0.84179,                0.55839,                0.66958,                0.46037,                 1.0907,                0.85252,                 1.3593,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.1738,                0.81837,                 1.3136,                0.85857,                0.58205,                0.69744,                0.49155,                 1.0454,                0.78846,                 1.3035,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.1849,                0.82103,                 1.3192,                0.85609,                0.57547,                0.69045,                0.48543,                 1.0293,                0.78909,                 1.3027,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.1519,                0.79901,                 1.2976,                0.86517,                0.58953,                0.70939,                0.50087,                 1.0232,                0.75541,                 1.2924,                0.00167,                0.00167,                0.00167
                     53,                 1.1667,                0.80407,                 1.3074,                0.86856,                0.58243,                0.70785,                0.50574,                0.98963,                0.77941,                 1.2706,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1564,                0.80067,                 1.3004,                 0.8534,                0.58243,                0.70574,                0.50307,                 1.0058,                0.76583,                 1.2824,              0.0016568,              0.0016568,              0.0016568
                     55,                  1.142,                0.79373,                 1.2934,                0.84834,                0.58987,                0.70021,                0.49576,                 1.0135,                0.77227,                 1.2974,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.1609,                0.79462,                 1.2948,                0.86844,                0.58558,                 0.7041,                 0.5079,                 1.0095,                0.75974,                 1.2775,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.1513,                0.78268,                 1.2946,                0.87569,                0.59073,                0.70829,                0.51254,                0.99464,                0.75136,                 1.2686,               0.001637,               0.001637,               0.001637
                     58,                 1.1521,                0.79534,                 1.3054,                0.85895,                0.59302,                0.71334,                0.50934,                0.99838,                0.74641,                 1.2743,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.1443,                0.78322,                 1.2903,                0.84212,                0.59689,                0.70907,                0.50619,                0.99381,                0.74528,                 1.2782,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.1496,                0.79539,                 1.2956,                0.85008,                 0.5826,                0.69903,                0.48849,                 1.0615,                 0.7948,                 1.3135,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.1474,                0.79115,                 1.3038,                0.87872,                0.59515,                0.71995,                0.50932,                 1.0029,                 0.7418,                 1.2715,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.1514,                0.78802,                 1.2975,                0.87367,                0.57798,                0.70444,                0.49621,                 1.0367,                0.76294,                 1.3111,               0.001604,               0.001604,               0.001604
                     63,                 1.1388,                0.76897,                 1.2837,                0.87991,                0.59302,                0.71554,                0.51416,                0.98916,                0.75096,                 1.2669,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.1301,                0.78063,                 1.2814,                0.87412,                 0.5982,                0.72347,                0.51825,                0.99595,                0.75109,                 1.2704,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.1319,                0.76111,                 1.2781,                0.86568,                0.58758,                0.71167,                0.50852,                 0.9914,                0.74202,                 1.2705,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.1152,                0.75478,                   1.27,                0.83768,                0.59672,                0.70408,                0.49927,                0.99787,                0.76294,                 1.2764,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.1187,                0.75477,                 1.2719,                0.86363,                0.59994,                0.71798,                0.51217,                0.98517,                0.73421,                 1.2555,               0.001571,               0.001571,               0.001571
                     68,                 1.1181,                0.75919,                 1.2747,                0.88385,                0.59359,                0.71284,                0.51302,                0.97119,                0.72484,                 1.2553,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.1369,                0.76511,                 1.2828,                0.83148,                0.59167,                0.69641,                0.48387,                 1.0593,                0.78913,                 1.3255,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1123,                0.75633,                 1.2763,                0.87262,                0.59211,                0.71042,                0.50119,                 1.0201,                0.76175,                 1.2848,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.1213,                0.75314,                  1.272,                0.84958,                0.57127,                0.69436,                0.48958,                 1.0244,                 0.7822,                 1.2936,              0.0015446,              0.0015446,              0.0015446
                     72,                  1.127,                0.74993,                 1.2718,                0.87115,                0.59406,                0.71447,                0.50719,                0.99082,                0.74249,                 1.2656,               0.001538,               0.001538,               0.001538
                     73,                 1.1062,                0.75034,                 1.2707,                0.87205,                0.59882,                 0.7178,                0.51946,                 0.9618,                0.73073,                 1.2517,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.1106,                0.73838,                 1.2612,                0.87826,                0.60332,                0.72141,                0.51175,                 1.0037,                 0.7224,                 1.2727,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.1134,                0.74961,                 1.2753,                0.87335,                0.60046,                0.72429,                0.51609,                0.98005,                0.72117,                 1.2583,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0987,                0.73381,                  1.257,                0.87257,                 0.6036,                0.72392,                0.51312,                0.98584,                0.70982,                 1.2701,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.1098,                0.75327,                 1.2657,                0.90207,                 0.6011,                0.72385,                0.52179,                0.96412,                0.69926,                 1.2482,               0.001505,               0.001505,               0.001505
                     78,                 1.0993,                0.73986,                 1.2599,                0.85485,                0.59388,                0.70888,                0.50373,                 0.9972,                0.72744,                 1.2685,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.1171,                0.74887,                 1.2643,                0.86974,                0.59416,                0.71342,                0.50563,                0.98774,                0.73615,                 1.2567,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.0992,                0.73174,                 1.2426,                0.87027,                0.61219,                0.72904,                0.52068,                0.99037,                0.71147,                 1.2542,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0989,                0.73512,                 1.2505,                 0.8663,                 0.6016,                0.71502,                0.51566,                 0.9649,                0.71937,                  1.244,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.1027,                 0.7271,                 1.2626,                0.87486,                0.58872,                0.71573,                0.50771,                0.99867,                0.73887,                 1.2724,               0.001472,               0.001472,               0.001472
                     83,                 1.0961,                0.72477,                 1.2501,                0.85348,                0.61362,                 0.7274,                0.51718,                0.98431,                0.71533,                   1.25,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0992,                0.72289,                 1.2549,                0.86478,                 0.6079,                0.72327,                0.51984,                0.98055,                0.71553,                 1.2571,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.0902,                0.72329,                 1.2595,                0.86273,                  0.599,                0.71676,                 0.5131,                0.99382,                0.72943,                 1.2637,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.1118,                0.74051,                  1.263,                0.85678,                0.59244,                0.71204,                0.50388,                 1.0045,                0.74171,                 1.2781,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.0877,                0.72574,                 1.2461,                0.87512,                0.60904,                0.72444,                0.51648,                0.98476,                0.71543,                 1.2569,               0.001439,               0.001439,               0.001439
                     88,                 1.0983,                0.73273,                 1.2602,                0.86167,                0.61684,                0.73041,                0.52321,                0.96844,                0.70226,                 1.2475,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0869,                0.72384,                 1.2485,                0.84979,                0.59903,                0.71376,                0.50487,                 1.0074,                0.72765,                 1.2776,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.1005,                0.72207,                 1.2642,                0.88233,                0.60475,                0.72878,                0.52182,                0.98932,                 0.7077,                 1.2643,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0822,                0.72088,                  1.255,                0.85851,                0.60532,                 0.7201,                 0.5175,                 0.9578,                0.70365,                 1.2437,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0741,                0.70937,                 1.2348,                0.88032,                0.61682,                0.73277,                0.52786,                0.94559,                0.67915,                 1.2252,               0.001406,               0.001406,               0.001406
                     93,                 1.0744,                0.70343,                 1.2392,                0.87721,                0.61706,                0.73066,                 0.5264,                0.96083,                0.68296,                 1.2445,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.0834,                0.71234,                 1.2468,                0.87195,                0.59247,                0.70738,                0.50731,                0.98662,                0.72451,                 1.2576,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.0693,                0.71173,                 1.2325,                0.86818,                0.60698,                0.72635,                0.52532,                   0.95,                0.69808,                 1.2301,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.0604,                0.70208,                 1.2306,                0.87739,                0.60532,                0.72228,                0.51678,                0.97056,                0.69694,                 1.2553,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.0814,                0.72083,                 1.2697,                 0.8766,                0.59445,                0.72166,                0.51978,                0.96309,                0.70634,                 1.2458,               0.001373,               0.001373,               0.001373
                     98,                 1.0691,                0.70191,                  1.238,                0.87587,                0.60675,                0.72854,                0.52664,                 0.9565,                0.68867,                 1.2316,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.0719,                0.69842,                 1.2313,                0.89205,                0.60504,                0.73298,                0.52506,                0.96952,                0.68674,                 1.2493,              0.0013598,              0.0013598,              0.0013598
                    100,                  1.065,                 0.6926,                 1.2321,                0.87714,                0.60481,                0.72391,                0.51785,                0.97605,                0.69374,                  1.253,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.0773,                0.71578,                 1.2456,                0.86363,                0.61133,                0.72214,                0.51247,                0.98479,                0.71054,                 1.2591,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.0728,                0.70435,                 1.2426,                0.88768,                0.61522,                0.73702,                0.52871,                0.95214,                0.66883,                 1.2298,                0.00134,                0.00134,                0.00134
                    103,                 1.0786,                0.70567,                 1.2459,                0.88023,                0.61219,                0.72943,                0.52324,                0.95648,                0.67862,                 1.2436,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.0843,                0.70112,                 1.2401,                0.88239,                0.62364,                0.73616,                0.52865,                0.95926,                0.66667,                 1.2356,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.0558,                0.69188,                 1.2294,                0.87654,                0.61963,                 0.7335,                0.52306,                0.97036,                 0.6815,                 1.2519,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.0598,                0.69083,                 1.2336,                0.87062,                0.60504,                 0.7261,                0.51791,                0.97992,                0.69869,                 1.2501,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.0684,                0.69707,                  1.229,                0.88935,                0.61878,                0.74251,                0.53413,                0.96404,                0.66231,                 1.2427,               0.001307,               0.001307,               0.001307
                    108,                 1.0875,                0.70599,                 1.2453,                0.88045,                0.61757,                  0.738,                0.53068,                0.94652,                0.67589,                 1.2331,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.0548,                0.68366,                 1.2327,                0.86779,                0.61334,                0.73225,                0.52422,                0.96611,                0.67822,                 1.2444,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.0615,                0.68533,                  1.221,                0.88376,                0.63324,                0.74393,                0.53316,                0.95348,                0.66231,                 1.2319,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.0495,                0.67567,                 1.2221,                0.88942,                0.60775,                0.73219,                0.52287,                0.96288,                0.67873,                   1.24,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.0608,                0.68188,                  1.228,                0.90851,                0.61162,                0.74464,                0.53522,                0.95025,                0.66238,                 1.2283,               0.001274,               0.001274,               0.001274
                    113,                 1.0638,                0.68854,                 1.2316,                0.87952,                0.63337,                0.74271,                0.53243,                0.95472,                0.65309,                 1.2337,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.0568,                0.67474,                 1.2289,                0.90031,                0.58701,                0.71877,                0.51267,                0.98104,                0.69566,                 1.2608,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.0478,                0.67442,                  1.216,                0.86964,                0.62627,                0.73727,                0.52923,                0.95626,                0.66416,                 1.2347,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.0482,                0.67975,                  1.229,                0.90789,                0.62536,                0.74733,                0.54053,                0.95461,                0.65368,                 1.2298,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.0521,                0.69163,                 1.2323,                0.88287,                0.62345,                0.73846,                0.53374,                0.93801,                0.66096,                 1.2283,               0.001241,               0.001241,               0.001241
                    118,                  1.035,                0.67153,                 1.2114,                0.87694,                0.63051,                0.74581,                0.53707,                0.95722,                0.65183,                  1.239,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.0469,                0.68153,                 1.2228,                0.87781,                0.61334,                0.73517,                0.51998,                0.98016,                0.68678,                 1.2556,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.0448,                 0.6786,                 1.2183,                0.88737,                0.62106,                0.73992,                0.52931,                0.96102,                0.66307,                 1.2386,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.0438,                0.66838,                 1.2172,                0.87282,                0.61935,                 0.7363,                0.53204,                0.96176,                 0.6635,                 1.2423,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.0365,                0.67216,                 1.2168,                 0.8756,                0.62736,                0.74171,                0.53315,                0.97074,                0.66229,                 1.2484,               0.001208,               0.001208,               0.001208
                    123,                 1.0537,                0.68219,                 1.2183,                0.87251,                0.63852,                0.74732,                0.53347,                0.94632,                0.65682,                 1.2235,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.0362,                0.66631,                 1.2085,                0.88943,                0.61701,                0.73751,                0.53055,                 0.9578,                0.65832,                 1.2468,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.0519,                0.67243,                 1.2194,                0.88376,                0.62707,                0.73851,                0.53205,                0.94776,                 0.6627,                 1.2313,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.0347,                0.66267,                 1.2016,                0.87397,                0.61963,                0.73532,                0.52628,                0.95141,                0.66568,                 1.2315,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.0502,                0.68183,                  1.216,                 0.8672,                0.62423,                0.73799,                0.52828,                0.95146,                0.66316,                 1.2329,               0.001175,               0.001175,               0.001175
                    128,                 1.0296,                0.65882,                 1.2119,                0.87979,                0.61585,                0.73728,                0.52355,                0.97042,                0.66805,                 1.2427,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.0393,                0.66742,                 1.2142,                0.88148,                 0.6258,                 0.7466,                0.53414,                0.95804,                0.65496,                 1.2349,              0.0011618,              0.0011618,              0.0011618
                    130,                  1.047,                 0.6688,                 1.2185,                0.85713,                0.62793,                0.73826,                0.52375,                0.98517,                0.66436,                 1.2619,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.0282,                0.66015,                 1.2088,                 0.8858,                0.60847,                0.73287,                0.52483,                0.96854,                0.66076,                 1.2423,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.0251,                0.65824,                 1.2049,                0.88805,                0.62663,                0.74327,                0.53774,                0.94164,                0.64486,                 1.2249,               0.001142,               0.001142,               0.001142
                    133,                 1.0346,                0.66804,                 1.2198,                0.87707,                0.61591,                0.73931,                0.52576,                0.96968,                0.66694,                 1.2457,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.0442,                 0.6664,                 1.2211,                0.89919,                0.61248,                0.74147,                0.52992,                0.97423,                0.66018,                  1.245,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.0181,                 0.6535,                 1.2098,                0.89229,                0.62851,                0.74872,                0.53942,                0.94616,                0.64248,                 1.2272,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.0256,                0.65567,                 1.2061,                0.90319,                0.61591,                0.73884,                0.53347,                 0.9482,                0.65032,                 1.2333,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.0195,                0.65446,                 1.2045,                0.88936,                0.62164,                0.74097,                 0.5342,                0.94987,                0.65133,                 1.2411,               0.001109,               0.001109,               0.001109
                    138,                 1.0146,                0.64318,                 1.1984,                 0.8873,                0.62822,                0.74826,                0.53581,                 0.9517,                0.64017,                 1.2267,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.0315,                0.65152,                 1.1991,                0.87423,                0.61669,                 0.7356,                0.52441,                0.97113,                0.66818,                 1.2426,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.0224,                0.65541,                 1.2024,                0.88343,                0.63165,                0.74842,                0.53699,                0.95578,                0.64051,                 1.2325,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.0244,                0.64914,                 1.1997,                 0.8858,                0.62822,                0.74499,                0.53677,                0.94835,                0.64122,                 1.2285,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.0252,                0.65112,                  1.192,                0.87898,                0.62569,                0.74416,                0.53625,                0.93329,                0.63702,                 1.2216,               0.001076,               0.001076,               0.001076
                    143,                 1.0261,                0.66161,                 1.2152,                0.89169,                0.62206,                0.74264,                 0.5342,                0.94441,                0.63943,                   1.23,              0.0010694,              0.0010694,              0.0010694
                    144,                 1.0271,                0.64774,                 1.2125,                0.87174,                0.63608,                0.74706,                0.53719,                0.94966,                0.63781,                 1.2321,              0.0010628,              0.0010628,              0.0010628
                    145,                 1.0189,                0.64834,                 1.1961,                0.88421,                0.62307,                0.74626,                0.53677,                0.94006,                0.63985,                 1.2192,              0.0010562,              0.0010562,              0.0010562
                    146,                 1.0156,                0.64046,                 1.2001,                 0.8816,                0.62908,                0.74237,                0.53445,                0.93938,                0.64431,                 1.2269,              0.0010496,              0.0010496,              0.0010496
                    147,                  1.004,                0.63156,                 1.1783,                0.89797,                0.62078,                 0.7464,                0.53707,                 0.9468,                0.64322,                 1.2249,               0.001043,               0.001043,               0.001043
                    148,                 1.0182,                0.63345,                 1.1855,                0.89859,                0.62936,                0.75554,                0.54415,                0.93848,                0.62341,                 1.2182,              0.0010364,              0.0010364,              0.0010364
                    149,                 1.0258,                0.64652,                  1.208,                 0.8726,                0.62535,                 0.7438,                0.53072,                0.96257,                0.64318,                 1.2419,              0.0010298,              0.0010298,              0.0010298
                    150,                 1.0204,                0.65296,                 1.1991,                0.88517,                0.62479,                0.74345,                 0.5336,                0.95381,                0.64562,                  1.227,              0.0010232,              0.0010232,              0.0010232
                    151,                 1.0161,                0.65187,                 1.1934,                0.86632,                 0.6225,                0.73954,                0.53077,                0.95335,                0.64733,                 1.2338,              0.0010166,              0.0010166,              0.0010166
                    152,                 1.0163,                0.64678,                 1.2026,                0.89334,                0.62806,                0.74878,                0.54019,                0.94782,                 0.6287,                 1.2303,                0.00101,                0.00101,                0.00101
                    153,                  1.008,                0.63331,                 1.1884,                 0.8814,                 0.6296,                 0.7478,                0.53778,                0.95027,                0.63405,                 1.2275,              0.0010034,              0.0010034,              0.0010034
                    154,                 1.0033,                0.63657,                 1.1954,                0.87148,                0.63654,                0.74795,                 0.5339,                 0.9601,                0.63043,                 1.2395,              0.0009968,              0.0009968,              0.0009968
                    155,                 1.0082,                0.63081,                 1.1891,                0.88725,                0.62479,                0.74878,                0.53988,                0.94246,                0.62565,                 1.2229,              0.0009902,              0.0009902,              0.0009902
