                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2121,                 2.7837,                 3.7472,                0.00727,                0.09502,                0.00457,                0.00163,                 3.1906,                 3.8469,                 4.1565,             0.00065608,             0.00065608,             0.00065608
                      2,                 2.2919,                 1.8993,                  2.476,                0.55758,                0.25072,                0.29726,                0.15462,                 2.0678,                 2.2718,                 2.5429,              0.0013201,              0.0013201,              0.0013201
                      3,                  1.972,                 1.6846,                 2.0674,                0.56538,                0.33343,                0.37276,                0.21192,                 1.8009,                 1.8162,                 2.0419,              0.0019815,              0.0019815,              0.0019815
                      4,                  1.829,                 1.5381,                 1.8811,                0.52755,                0.32828,                0.36834,                 0.1959,                  1.809,                 1.9017,                  2.017,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.7156,                 1.4264,                 1.7424,                0.62036,                0.40469,                0.45957,                0.26581,                 1.6304,                 1.6577,                 1.8158,              0.0019881,              0.0019881,              0.0019881
                      6,                 1.6537,                 1.3607,                 1.6758,                0.70472,                0.44762,                0.52135,                0.33185,                 1.4405,                 1.3347,                 1.6532,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.5962,                 1.3288,                 1.6206,                0.67271,                0.42873,                0.50087,                0.31902,                 1.4119,                 1.4921,                 1.5929,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.5591,                 1.2857,                 1.5888,                0.74392,                0.43589,                0.53489,                0.33855,                 1.4103,                 1.3187,                 1.5898,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.5339,                 1.2329,                 1.5387,                0.69014,                0.46537,                0.54958,                0.35329,                    1.4,                 1.2377,                 1.5685,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.4702,                 1.1819,                 1.5001,                0.53701,                0.34717,                0.37905,                0.22178,                 1.7471,                 2.1265,                 1.9013,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.4675,                  1.174,                 1.4978,                0.61212,                0.42387,                0.47178,                0.29106,                 1.4727,                 1.4437,                 1.6414,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.4299,                 1.1465,                   1.46,                0.70955,                0.46508,                0.55696,                0.36494,                 1.2969,                 1.2146,                 1.4729,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.4132,                 1.1197,                 1.4512,                0.75205,                0.47682,                0.56955,                0.37132,                 1.3331,                  1.156,                 1.5127,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.4174,                  1.114,                 1.4367,                0.64218,                0.40698,                0.46219,                0.28696,                  1.503,                 1.4862,                 1.6316,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.3776,                 1.0786,                 1.4235,                0.75317,                0.44277,                0.53929,                0.35547,                 1.2789,                 1.2191,                 1.4452,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.3869,                 1.0992,                 1.4281,                0.76856,                0.48566,                 0.5868,                0.39645,                 1.2409,                 1.1011,                 1.4149,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.3845,                 1.0829,                 1.4147,                0.82169,                0.50778,                0.62543,                0.43164,                 1.1704,                0.99499,                 1.3686,              0.0019406,              0.0019406,              0.0019406
                     18,                  1.336,                 1.0395,                 1.3979,                0.79804,                0.50213,                0.61704,                0.41375,                 1.1939,                  1.034,                 1.3841,              0.0019366,              0.0019366,              0.0019366
